Nimi	DJ	EX	Kokku	PR	Syva	Üldine	XP	dj01	dj02	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
Aleksander Smirnov	0	95,786	89,875	0	0	48,5	0	0	0	0	79,667	0	163,2	47,667	0	0	0	0	0	0	0	0	0	0	0	0	0	66,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31,0	0	0	0	0	0	0	0	0	0	0	0	89,875
lliizu	0	44,778	44,615	39,5	0	45,833	0	0	0	0	0	0	40,143	53,5	0	49,0	0	0	36,0	35,667	0	64,0	0	0	0	47,333	0	0	0	0	0	0	38,0	0	0	0	0	0	0	0	0	41,0	0	0	0	33,0	67,0	0	0	0	0	0	0	0	0	0	0	44,615
HipSterius	0	39,621	39,384	37,75	62,0	35,455	62,0	0	0	0	41,0	0	63,882	28,353	38,2	36,388	5,5	24,0	0	30,667	23,5	24,0	77,267	0	0	27,5	34,25	0	0	52,0	0	0	53,5	29,333	0	0	0	30,2	0	0	0	0	0	0	0	37,75	33,429	0	0	0	62,0	0	0	0	0	0	0	39,497
durgress	0	34,815	34,585	34,0	0	34,154	0	0	0	0	0	30,333	41,25	31,8	0	0	0	0	0	0	42,0	0	0	0	0	65,333	0	24,667	0	34,0	61,0	0	0	0	0	0	0	0	0	0	0	34,0	0	0	0	16,333	15,0	0	0	0	0	0	0	0	0	0	0	34,585
Rait K3	0	125,333	38,194	31,6	0	35,25	0	0	0	0	0	0	0	0	0	0	0	0	188,0	0	0	0	0	0,0	26,0	6,0	0	0	0	30,25	16,75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39,545	0	0	0	31,6	0	0	0	0	0	0	0	38,194
KristjanP	0	41,527	25,924	19,671	0	34,5	0	0	0	0	36,833	0	37,067	41,357	108,333	36,75	0	0	25,8	0	40,875	0	0	0	0	0	0	0	0	0	0	0	19,671	0	0	0	0	0	0	0	0	0	0	0	0	34,5	0	0	0	0	0	0	0	0	0	0	0	25,924
Aivar Hinrikus	0	71,912	74,188	69,238	0	92,88	0	0	0	0	48,429	92,68	0	0	0	0	54,0	86,194	59,444	57,833	0	0	0	0	0	75,2	0	0	0	0	0	0	0	57,038	0	0	0	97,615	0	0	0	0	52,0	0	0	163,6	0	0	0	0	0	0	0	0	0	0	0	74,188
Lightning	0	89,056	81,614	68,524	0	71,846	0	0	0	0	45,333	298,5	0	76,333	92,643	103,811	44,556	85,875	130,286	0	48,333	0	70,0	0	0	0	0	81,455	0	0	0	0	0	104,8	0	0	0	0	37,714	193,0	0	157,0	0	0	0	64,8	0	0	0	62,143	0	0	0	0	0	0	0	81,614
timmu	0	56,706	56,667	50,333	68,286	39,333	68,286	0	0	0	0	52,0	86,625	0	0	50,846	0	51,857	51,606	61,412	50,667	0	0	0	0	0	0	0	0	0	0	0	0	39,0	0	0	0	0	0	0	48,875	85,0	0	0	0	39,333	0	0	0	0	0	88,0	66,75	64,125	0	0	0	57,102
Skye	0	27,0	42,075	63,75	40,672	42,547	40,672	0	0	0	0	0	0	0	0	27,0	0	37,0	22,0	0	0	0	0	0	0	43,576	0	0	0	102,0	0	0	0	0	0	0	0	94,0	59,429	0	0	0	0	0	0	38,5	40,55	0	0	0	168,0	52,4	70,4	33,18	0	0	0	41,893
andres	0	35,4	36,87	11,0	0	37,5	0	0	0	0	44,5	29,75	0	31,5	0	0	19,0	0	0	0	0	0	0	0	22,0	74,0	0	40,2	0	0	0	0	11,0	0	0	0	0	0	0	0	0	0	0	0	0	24,429	0	0	0	0	0	0	0	0	0	0	0	36,87
ER	0	55,281	62,685	58,927	57,077	72,748	57,077	0	0	0	0	0	64,929	0	58,933	56,141	88,6	46,654	101,0	48,156	43,067	48,0	65,492	47,5	0	69,483	0	70,074	114,0	116,625	106,0	0	33,0	41,84	0	0	41,667	97,25	64,0	81,25	68,0	57,535	29,0	68,25	0	76,524	0	0	0	57,0	0	64,619	25,4	0	0	0	0	62,626
MZ	38,118	61,303	52,842	79,5	38,118	29,964	0	38,118	0	0	0	0	123,833	30,0	0	0	0	0	0	0	87,273	0	53,825	0	0	38,0	0	0	0	11,125	0	0	0	0	0	0	0	0	0	0	0	0	79,5	0	0	34,667	0	0	0	0	0	0	0	0	0	0	0	52,292
lolxd	0	16,25	48,56	113,0	0	45,0	0	0	0	0	0	0	0	0	0	0	0	0	0	21,333	0	1,0	0	0	0	15,4	63,0	0	39,75	0	0	0	0	0	0	0	0	0	97,5	0	0	0	0	0	0	88,0	0	0	0	144,0	0	0	0	0	0	0	0	48,56
Risto	0	65,667	37,571	135,0	0	18,111	0	0	0	0	71,0	0	0	0	0	0	0	0	76,667	49,333	0	0	0	0	9,0	51,0	0	0	0	0,0	30,0	0	135,0	0	0	0	0	0	0	0	0	0	0	0	0	9,75	17,0	0	0	0	0	0	0	0	0	0	0	37,571
Andri	0	55,891	58,319	165,667	38,444	64,359	38,444	0	0	0	0	0	36,641	60,667	0	0	123,0	67,529	0	90,0	0	65,222	54,571	69,95	0	75,286	0	0	32,0	0	0	0	201,0	0	0	0	0	0	148,0	0	0	0	0	0	0	65,069	0	0	0	0	38,444	0	0	0	0	0	0	58,035
